Tray_omni_x,Tray_omni_y,Tray_gen_x,Tray_gen_y
2482,640,2482,640
2355,779,2400,750
2200,953,2250,900
1866,946,1950,900
1594,581,1650,600
1413,558,1500,600
831,1258,822,1192
