Tray_omni_x,Tray_omni_y,Tray_gen_x,Tray_gen_y
2482,1251,2516,1233
2539,1226,2516,1233
2510,1237,2420,1070
2411,1074,2270,920
2290,1002,2120,920
1720,579,1670,470
1633,540,1520,470
1130,221,1070,920
940,713,920,920
892,850,814,921
853,908,770,1070
830,1338,814,1521
