Tray_omni_x,Tray_omni_y,Tray_gen_x,Tray_gen_y
2389,1325,2389,1325
2304,1221,2270,1220
2091,1072,2120,1070
2171,930,2120,920
1655,447,1670,470
931,357,920,470
895,559,894,462
987,695,920,620
835,1262,894,1362
