Tray_omni_x,Tray_omni_y,Tray_gen_x,Tray_gen_y
637,1349,637,1345
537,1345,600,1350
1230,1348,1350,1350
1735,1528,1500,1500
1717,1543,1650,1500
2245,629,2550,600
2569,613,2528,627
