Tray_omni_x,Tray_omni_y,Tray_gen_x,Tray_gen_y
2145,795,2145,792
2027,762,2100,750
1913,965,1950,900
1970,1228,1950,1200
1644,1478,1650,1500
1127,1434,1050,1500
848,1327,900,1350
1042,1445,958,1403
