Tray_omni_x,Tray_omni_y,Tray_gen_x,Tray_gen_y
-10000,-10000,2181,1008
2176,1008,2181,1008
2191,1004,2181,1008
1944,1014,1970,1070
1972,1276,1970,1220
1844,1366,1820,1370
1515,1357,1220,1370
743,933,920,1070
-10000,-10000,469,1137
